Technology (Process),Explanation
RH4FHETN1,TIMES process: RH4FHETN1
RH4FLOG100,TIMES process: RH4FLOG100
RH4FLOGN1,TIMES process: RH4FLOGN1
RH4FLOGN2,TIMES process: RH4FLOGN2
RH4FLPG100,TIMES process: RH4FLPG100
RH4FLPGN1,TIMES process: RH4FLPGN1
RH4FLPGN2,TIMES process: RH4FLPGN2
RH4FOIL100,TIMES process: RH4FOIL100
RH4FOILN1,TIMES process: RH4FOILN1
RH4FOILN3,TIMES process: RH4FOILN3
RH4FPEL100,TIMES process: RH4FPEL100
RH4FPELN1,TIMES process: RH4FPELN1
RH4FPELN2,TIMES process: RH4FPELN2
RHAPBDLN1,TIMES process: RHAPBDLN1
RHAPCOA100,TIMES process: RHAPCOA100
RHAPELC100,TIMES process: RHAPELC100
RHAPELC200,TIMES process: RHAPELC200
RHAPELCHPN1,TIMES process: RHAPELCHPN1
RHAPELCHPN2,TIMES process: RHAPELCHPN2
RHAPELCHPN3,TIMES process: RHAPELCHPN3
RHAPELCHPN4,TIMES process: RHAPELCHPN4
RHAPELCHPN6,TIMES process: RHAPELCHPN6
RHAPELCN1,TIMES process: RHAPELCN1
RHAPGEO100,TIMES process: RHAPGEO100
RHAPGMX100,TIMES process: RHAPGMX100
RHAPGMXN1,TIMES process: RHAPGMXN1
RHAPGMXN2,TIMES process: RHAPGMXN2
RHAPHETN1,TIMES process: RHAPHETN1
RHAPLOG100,TIMES process: RHAPLOG100
RHAPLOGN1,TIMES process: RHAPLOGN1
RHAPLOGN2,TIMES process: RHAPLOGN2
RHAPLPG100,TIMES process: RHAPLPG100
RHAPLPGN1,TIMES process: RHAPLPGN1
RHAPLPGN2,TIMES process: RHAPLPGN2
RHAPOIL100,TIMES process: RHAPOIL100
RHAPOILN1,TIMES process: RHAPOILN1
RHAPOILN3,TIMES process: RHAPOILN3
RHAPPEL100,TIMES process: RHAPPEL100
RHAPPELN1,TIMES process: RHAPPELN1
RHAPPELN2,TIMES process: RHAPPELN2
RHN2FBDLN1,TIMES process: RHN2FBDLN1
RHN2FELCHPN1,TIMES process: RHN2FELCHPN1
RHN2FELCHPN2,TIMES process: RHN2FELCHPN2
RHN2FELCHPN3,TIMES process: RHN2FELCHPN3
RHN2FELCHPN4,TIMES process: RHN2FELCHPN4
RHN2FELCHPN6,TIMES process: RHN2FELCHPN6
RHN2FELCN1,TIMES process: RHN2FELCN1
RHN2FGMXN1,TIMES process: RHN2FGMXN1
RHN2FGMXN2,TIMES process: RHN2FGMXN2
RHN2FHETN1,TIMES process: RHN2FHETN1
RHN2FLOGN1,TIMES process: RHN2FLOGN1
RHN2FLOGN2,TIMES process: RHN2FLOGN2
RHN2FLPGN1,TIMES process: RHN2FLPGN1
RHN2FLPGN2,TIMES process: RHN2FLPGN2
RHN2FOILN1,TIMES process: RHN2FOILN1
RHN2FOILN3,TIMES process: RHN2FOILN3
RHN2FPELN1,TIMES process: RHN2FPELN1
RHN2FPELN2,TIMES process: RHN2FPELN2
RHN3FBDLN1,TIMES process: RHN3FBDLN1
RHN3FELCHPN1,TIMES process: RHN3FELCHPN1
RHN3FELCHPN2,TIMES process: RHN3FELCHPN2
RHN3FELCHPN3,TIMES process: RHN3FELCHPN3
RHN3FELCHPN4,TIMES process: RHN3FELCHPN4
RHN3FELCHPN6,TIMES process: RHN3FELCHPN6
RHN3FELCN1,TIMES process: RHN3FELCN1
RHN3FGMXN1,TIMES process: RHN3FGMXN1
RHN3FGMXN2,TIMES process: RHN3FGMXN2
RHN3FHETN1,TIMES process: RHN3FHETN1
RHN3FLOGN1,TIMES process: RHN3FLOGN1
RHN3FLOGN2,TIMES process: RHN3FLOGN2
RHN3FLPGN1,TIMES process: RHN3FLPGN1
RHN3FLPGN2,TIMES process: RHN3FLPGN2
RHN3FOILN1,TIMES process: RHN3FOILN1
RHN3FOILN3,TIMES process: RHN3FOILN3
RHN3FPELN1,TIMES process: RHN3FPELN1
RHN4FBDLN1,TIMES process: RHN4FBDLN1
RHN4FELCHPN1,TIMES process: RHN4FELCHPN1
RHN4FELCHPN2,TIMES process: RHN4FELCHPN2
RHN4FELCHPN3,TIMES process: RHN4FELCHPN3
RHN4FELCHPN4,TIMES process: RHN4FELCHPN4
RHN4FELCHPN6,TIMES process: RHN4FELCHPN6
RHN4FELCN1,TIMES process: RHN4FELCN1
RHN4FGMXN1,TIMES process: RHN4FGMXN1
RHN4FGMXN2,TIMES process: RHN4FGMXN2
RHN4FHETN1,TIMES process: RHN4FHETN1
RHN4FLOGN1,TIMES process: RHN4FLOGN1
RHN4FLOGN2,TIMES process: RHN4FLOGN2
RHN4FLPGN1,TIMES process: RHN4FLPGN1
RHN4FLPGN2,TIMES process: RHN4FLPGN2
RHN4FOILN1,TIMES process: RHN4FOILN1
RHN4FOILN3,TIMES process: RHN4FOILN3
RHN4FPELN1,TIMES process: RHN4FPELN1
RHNAPBDLN1,TIMES process: RHNAPBDLN1
RHNAPELCHPN1,TIMES process: RHNAPELCHPN1
RHNAPELCHPN2,TIMES process: RHNAPELCHPN2
RHNAPELCHPN3,TIMES process: RHNAPELCHPN3
RHNAPELCHPN4,TIMES process: RHNAPELCHPN4
RHNAPELCHPN6,TIMES process: RHNAPELCHPN6
RHNAPELCN1,TIMES process: RHNAPELCN1
RHNAPGMXHPN1,TIMES process: RHNAPGMXHPN1
RHNAPGMXHPN2,TIMES process: RHNAPGMXHPN2
RHNAPGMXN1,TIMES process: RHNAPGMXN1
RHNAPGMXN2,TIMES process: RHNAPGMXN2
RHNAPHETN1,TIMES process: RHNAPHETN1
RHNAPLOGN1,TIMES process: RHNAPLOGN1
RHNAPLOGN2,TIMES process: RHNAPLOGN2
RHNAPLPGHPN1,TIMES process: RHNAPLPGHPN1
RHNAPLPGHPN2,TIMES process: RHNAPLPGHPN2
RHNAPLPGN1,TIMES process: RHNAPLPGN1
RHNAPLPGN2,TIMES process: RHNAPLPGN2
RHNAPOILN1,TIMES process: RHNAPOILN1
RHNAPOILN3,TIMES process: RHNAPOILN3
RHNAPPELN1,TIMES process: RHNAPPELN1
RLIGELC200,TIMES process: RLIGELC200
RLIGELC201,TIMES process: RLIGELC201
RLIGELC300,TIMES process: RLIGELC300
RLIGELC301,TIMES process: RLIGELC301
RLIGELC400,TIMES process: RLIGELC400
RLIGELC401,TIMES process: RLIGELC401
RLIGELC500,TIMES process: RLIGELC500
ROELELC100,TIMES process: ROELELC100
ROELELC101,TIMES process: ROELELC101
ROENGSL100,TIMES process: ROENGSL100
ROENGSL101,TIMES process: ROENGSL101
RREFELC100,TIMES process: RREFELC100
RREFELC200,TIMES process: RREFELC200
RREFELC300,TIMES process: RREFELC300
RREFELC501,TIMES process: RREFELC501
RREFELC601,TIMES process: RREFELC601
RSDCOA00,Residential process using Coal
RSDCPS00,Residential process using Solid biomass
RSDELC00,Residential process using Electricity
RSDGEO00,TIMES process: RSDGEO00
RSDGH2C01,Residential process using Hydrogen
RSDGH2C01_i,Residential process using Hydrogen
RSDGH2C02,Residential process using Hydrogen
RSDGH2D01,Residential process using Hydrogen
RSDGMX00,Residential process using Biogas
RSDGSL00,Residential process using biomasse
RSDHET00,Residential process using Central heat
RSDHET01,Residential process using Central heat
RSDHET02,Residential process using Central heat
RSDLOG00,Residential process using Solid biomass
RSDLPG00,Residential process using Oil
RSDOIL00,Residential process using Oil
RSDPEL00,Residential process using Solid biomass
RSDPVELC,Residential process using Electricity
RSDSOL00,TIMES process: RSDSOL00
RW2FCOA100,TIMES process: RW2FCOA100
RW2FELC100,TIMES process: RW2FELC100
RW2FELC101,TIMES process: RW2FELC101
RW2FELCHPN1,TIMES process: RW2FELCHPN1
RW2FELCN1,TIMES process: RW2FELCN1
RW2FELCSOLN1,TIMES process: RW2FELCSOLN1
RW2FGMX100,TIMES process: RW2FGMX100
RW2FGMXN1,TIMES process: RW2FGMXN1
RW2FGMXSOLN1,TIMES process: RW2FGMXSOLN1
RW2FLOG100,TIMES process: RW2FLOG100
RW2FLPG100,TIMES process: RW2FLPG100
RW2FLPGN1,TIMES process: RW2FLPGN1
RW2FOIL100,TIMES process: RW2FOIL100
RW2FOILN1,TIMES process: RW2FOILN1
RW2FOILSOLN1,TIMES process: RW2FOILSOLN1
RW2FPEL100,TIMES process: RW2FPEL100
RW2FPELN1,TIMES process: RW2FPELN1
RW2FSOL100,TIMES process: RW2FSOL100
RW3FCOA100,TIMES process: RW3FCOA100
RW3FELC100,TIMES process: RW3FELC100
RW3FELC101,TIMES process: RW3FELC101
RW3FELCHPN1,TIMES process: RW3FELCHPN1
RW3FELCN3,TIMES process: RW3FELCN3
RW3FELCSOLN1,TIMES process: RW3FELCSOLN1
RW3FGMX100,TIMES process: RW3FGMX100
RW3FGMXN3,TIMES process: RW3FGMXN3
RW3FGMXSOLN1,TIMES process: RW3FGMXSOLN1
RW3FLOG100,TIMES process: RW3FLOG100
RW3FLPG100,TIMES process: RW3FLPG100
RW3FLPGN3,TIMES process: RW3FLPGN3
RW3FOIL100,TIMES process: RW3FOIL100
RW3FOILN3,TIMES process: RW3FOILN3
RW3FOILSOLN1,TIMES process: RW3FOILSOLN1
RW3FPEL100,TIMES process: RW3FPEL100
RW3FPELN3,TIMES process: RW3FPELN3
RW3FSOL100,TIMES process: RW3FSOL100
RW4FELC100,TIMES process: RW4FELC100
RW4FELC101,TIMES process: RW4FELC101
RW4FELCHPN1,TIMES process: RW4FELCHPN1
RW4FELCN1,TIMES process: RW4FELCN1
RW4FELCSOLN1,TIMES process: RW4FELCSOLN1
RW4FGMX100,TIMES process: RW4FGMX100
RW4FGMXN1,TIMES process: RW4FGMXN1
RW4FGMXSOLN1,TIMES process: RW4FGMXSOLN1
RW4FLOG100,TIMES process: RW4FLOG100
RW4FLPG100,TIMES process: RW4FLPG100
RW4FLPGN1,TIMES process: RW4FLPGN1
RW4FOIL100,TIMES process: RW4FOIL100
RW4FOILN1,TIMES process: RW4FOILN1
RW4FOILSOLN1,TIMES process: RW4FOILSOLN1
RW4FPEL100,TIMES process: RW4FPEL100
RW4FPELN1,TIMES process: RW4FPELN1
RW4FSOL100,TIMES process: RW4FSOL100
RWAPCOA100,TIMES process: RWAPCOA100
RWAPELC100,TIMES process: RWAPELC100
RWAPELC101,TIMES process: RWAPELC101
RWAPELCHPN1,TIMES process: RWAPELCHPN1
RWAPELCN1,TIMES process: RWAPELCN1
RWAPELCSOLN1,TIMES process: RWAPELCSOLN1
RWAPGMX100,TIMES process: RWAPGMX100
RWAPGMXN1,TIMES process: RWAPGMXN1
RWAPGMXSOLN1,TIMES process: RWAPGMXSOLN1
RWAPLOG100,TIMES process: RWAPLOG100
RWAPLPG100,TIMES process: RWAPLPG100
RWAPLPGN1,TIMES process: RWAPLPGN1
RWAPOIL100,TIMES process: RWAPOIL100
RWAPOILN1,TIMES process: RWAPOILN1
RWAPOILSOLN1,TIMES process: RWAPOILSOLN1
RWAPPEL100,TIMES process: RWAPPEL100
RWAPPELN1,TIMES process: RWAPPELN1
RWAPSOL100,TIMES process: RWAPSOL100
RWN2FELCHPN1,TIMES process: RWN2FELCHPN1
RWN2FELCN1,TIMES process: RWN2FELCN1
RWN2FELCSOLN1,TIMES process: RWN2FELCSOLN1
RWN2FGMXN1,TIMES process: RWN2FGMXN1
RWN2FGMXSOLN1,TIMES process: RWN2FGMXSOLN1
RWN2FLPGN1,TIMES process: RWN2FLPGN1
RWN2FOILN1,TIMES process: RWN2FOILN1
RWN2FOILSOLN1,TIMES process: RWN2FOILSOLN1
RWN2FPELN1,TIMES process: RWN2FPELN1
RWN3FELCHPN1,TIMES process: RWN3FELCHPN1
RWN3FELCN3,TIMES process: RWN3FELCN3
RWN3FELCSOLN1,TIMES process: RWN3FELCSOLN1
RWN3FGMXN3,TIMES process: RWN3FGMXN3
RWN3FGMXSOLN1,TIMES process: RWN3FGMXSOLN1
RWN3FLPGN3,TIMES process: RWN3FLPGN3
RWN3FOILN3,TIMES process: RWN3FOILN3
RWN3FOILSOLN1,TIMES process: RWN3FOILSOLN1
RWN3FPELN3,TIMES process: RWN3FPELN3
RWN4FELCHPN1,TIMES process: RWN4FELCHPN1
RWN4FELCN1,TIMES process: RWN4FELCN1
RWN4FELCSOLN1,TIMES process: RWN4FELCSOLN1
RWN4FGMXN1,TIMES process: RWN4FGMXN1
RWN4FGMXSOLN1,TIMES process: RWN4FGMXSOLN1
RWN4FLPGN1,TIMES process: RWN4FLPGN1
RWN4FOILN1,TIMES process: RWN4FOILN1
RWN4FOILSOLN1,TIMES process: RWN4FOILSOLN1
RWN4FPELN1,TIMES process: RWN4FPELN1
RWNAPELCHPN1,TIMES process: RWNAPELCHPN1
RWNAPELCN1,TIMES process: RWNAPELCN1
RWNAPELCSOLN1,TIMES process: RWNAPELCSOLN1
RWNAPGMXN1,TIMES process: RWNAPGMXN1
RWNAPGMXSOLN1,TIMES process: RWNAPGMXSOLN1
RWNAPLPGN1,TIMES process: RWNAPLPGN1
RWNAPOILN1,TIMES process: RWNAPOILN1
RWNAPOILSOLN1,TIMES process: RWNAPOILSOLN1
RWNAPPELN1,TIMES process: RWNAPPELN1
Retrofit-F_C_BA,TIMES process: Retrofit-F_C_BA
Retrofit-F_C_BP,TIMES process: Retrofit-F_C_BP
Retrofit-F_C_CO,TIMES process: Retrofit-F_C_CO
Retrofit-F_C_CS,TIMES process: Retrofit-F_C_CS
Retrofit-F_C_EN,TIMES process: Retrofit-F_C_EN
Retrofit-F_C_SA,TIMES process: Retrofit-F_C_SA
Retrofit-F_R_2Fac1945,TIMES process: Retrofit-F_R_2Fac1945
Retrofit-F_R_2Fac1958,TIMES process: Retrofit-F_R_2Fac1958
Retrofit-F_R_2Fac1976,TIMES process: Retrofit-F_R_2Fac1976
Retrofit-F_R_2Fac1989,TIMES process: Retrofit-F_R_2Fac1989
Retrofit-F_R_2Fac2005,TIMES process: Retrofit-F_R_2Fac2005
Retrofit-F_R_3Fac1945,TIMES process: Retrofit-F_R_3Fac1945
Retrofit-F_R_3Fac1958,TIMES process: Retrofit-F_R_3Fac1958
Retrofit-F_R_3Fac1976,TIMES process: Retrofit-F_R_3Fac1976
Retrofit-F_R_3Fac1989,TIMES process: Retrofit-F_R_3Fac1989
Retrofit-F_R_3Fac2005,TIMES process: Retrofit-F_R_3Fac2005
Retrofit-F_R_4Fac1945,TIMES process: Retrofit-F_R_4Fac1945
Retrofit-F_R_4Fac1958,TIMES process: Retrofit-F_R_4Fac1958
Retrofit-F_R_4Fac1976,TIMES process: Retrofit-F_R_4Fac1976
Retrofit-F_R_4Fac1989,TIMES process: Retrofit-F_R_4Fac1989
Retrofit-F_R_4Fac2005,TIMES process: Retrofit-F_R_4Fac2005
Retrofit-F_R_Appa1945,TIMES process: Retrofit-F_R_Appa1945
Retrofit-F_R_Appa1958,TIMES process: Retrofit-F_R_Appa1958
Retrofit-F_R_Appa1976,TIMES process: Retrofit-F_R_Appa1976
Retrofit-F_R_Appa1989,TIMES process: Retrofit-F_R_Appa1989
Retrofit-F_R_Appa2005,TIMES process: Retrofit-F_R_Appa2005
Retrofit-M_C_BA,TIMES process: Retrofit-M_C_BA
Retrofit-M_C_BP,TIMES process: Retrofit-M_C_BP
Retrofit-M_C_CO,TIMES process: Retrofit-M_C_CO
Retrofit-M_C_CS,TIMES process: Retrofit-M_C_CS
Retrofit-M_C_EN,TIMES process: Retrofit-M_C_EN
Retrofit-M_C_SA,TIMES process: Retrofit-M_C_SA
Retrofit-M_R_2Fac1945,TIMES process: Retrofit-M_R_2Fac1945
Retrofit-M_R_2Fac1958,TIMES process: Retrofit-M_R_2Fac1958
Retrofit-M_R_2Fac1976,TIMES process: Retrofit-M_R_2Fac1976
Retrofit-M_R_2Fac1989,TIMES process: Retrofit-M_R_2Fac1989
Retrofit-M_R_2Fac2005,TIMES process: Retrofit-M_R_2Fac2005
Retrofit-M_R_3Fac1945,TIMES process: Retrofit-M_R_3Fac1945
Retrofit-M_R_3Fac1958,TIMES process: Retrofit-M_R_3Fac1958
Retrofit-M_R_3Fac1976,TIMES process: Retrofit-M_R_3Fac1976
Retrofit-M_R_3Fac1989,TIMES process: Retrofit-M_R_3Fac1989
Retrofit-M_R_3Fac2005,TIMES process: Retrofit-M_R_3Fac2005
Retrofit-M_R_4Fac1945,TIMES process: Retrofit-M_R_4Fac1945
Retrofit-M_R_4Fac1958,TIMES process: Retrofit-M_R_4Fac1958
Retrofit-M_R_4Fac1976,TIMES process: Retrofit-M_R_4Fac1976
Retrofit-M_R_4Fac1989,TIMES process: Retrofit-M_R_4Fac1989
Retrofit-M_R_4Fac2005,TIMES process: Retrofit-M_R_4Fac2005
Retrofit-M_R_Appa1945,TIMES process: Retrofit-M_R_Appa1945
Retrofit-M_R_Appa1958,TIMES process: Retrofit-M_R_Appa1958
Retrofit-M_R_Appa1976,TIMES process: Retrofit-M_R_Appa1976
Retrofit-M_R_Appa1989,TIMES process: Retrofit-M_R_Appa1989
Retrofit-M_R_Appa2005,TIMES process: Retrofit-M_R_Appa2005
Retrofit-S_C_BA,TIMES process: Retrofit-S_C_BA
Retrofit-S_C_BP,TIMES process: Retrofit-S_C_BP
Retrofit-S_C_CO,TIMES process: Retrofit-S_C_CO
Retrofit-S_C_CS,TIMES process: Retrofit-S_C_CS
Retrofit-S_C_EN,TIMES process: Retrofit-S_C_EN
Retrofit-S_C_SA,TIMES process: Retrofit-S_C_SA
Retrofit-S_R_2Fac1945,TIMES process: Retrofit-S_R_2Fac1945
Retrofit-S_R_2Fac1958,TIMES process: Retrofit-S_R_2Fac1958
Retrofit-S_R_2Fac1976,TIMES process: Retrofit-S_R_2Fac1976
Retrofit-S_R_2Fac1989,TIMES process: Retrofit-S_R_2Fac1989
Retrofit-S_R_2Fac2005,TIMES process: Retrofit-S_R_2Fac2005
Retrofit-S_R_3Fac1945,TIMES process: Retrofit-S_R_3Fac1945
Retrofit-S_R_3Fac1958,TIMES process: Retrofit-S_R_3Fac1958
Retrofit-S_R_3Fac1976,TIMES process: Retrofit-S_R_3Fac1976
Retrofit-S_R_3Fac1989,TIMES process: Retrofit-S_R_3Fac1989
Retrofit-S_R_3Fac2005,TIMES process: Retrofit-S_R_3Fac2005
Retrofit-S_R_4Fac1945,TIMES process: Retrofit-S_R_4Fac1945
Retrofit-S_R_4Fac1958,TIMES process: Retrofit-S_R_4Fac1958
Retrofit-S_R_4Fac1976,TIMES process: Retrofit-S_R_4Fac1976
Retrofit-S_R_4Fac1989,TIMES process: Retrofit-S_R_4Fac1989
Retrofit-S_R_4Fac2005,TIMES process: Retrofit-S_R_4Fac2005
Retrofit-S_R_Appa1945,TIMES process: Retrofit-S_R_Appa1945
Retrofit-S_R_Appa1958,TIMES process: Retrofit-S_R_Appa1958
Retrofit-S_R_Appa1976,TIMES process: Retrofit-S_R_Appa1976
Retrofit-S_R_Appa1989,TIMES process: Retrofit-S_R_Appa1989
Retrofit-S_R_Appa2005,TIMES process: Retrofit-S_R_Appa2005
Retrofit-T_C_BA,TIMES process: Retrofit-T_C_BA
Retrofit-T_C_BP,TIMES process: Retrofit-T_C_BP
Retrofit-T_C_CO,TIMES process: Retrofit-T_C_CO
Retrofit-T_C_CS,TIMES process: Retrofit-T_C_CS
Retrofit-T_C_EN,TIMES process: Retrofit-T_C_EN
Retrofit-T_C_SA,TIMES process: Retrofit-T_C_SA
Retrofit-T_R_2Fac1945,TIMES process: Retrofit-T_R_2Fac1945
Retrofit-T_R_2Fac1958,TIMES process: Retrofit-T_R_2Fac1958
Retrofit-T_R_2Fac1976,TIMES process: Retrofit-T_R_2Fac1976
Retrofit-T_R_2Fac1989,TIMES process: Retrofit-T_R_2Fac1989
Retrofit-T_R_2Fac2005,TIMES process: Retrofit-T_R_2Fac2005
Retrofit-T_R_3Fac1945,TIMES process: Retrofit-T_R_3Fac1945
Retrofit-T_R_3Fac1958,TIMES process: Retrofit-T_R_3Fac1958
Retrofit-T_R_3Fac1976,TIMES process: Retrofit-T_R_3Fac1976
Retrofit-T_R_3Fac1989,TIMES process: Retrofit-T_R_3Fac1989
Retrofit-T_R_3Fac2005,TIMES process: Retrofit-T_R_3Fac2005
Retrofit-T_R_4Fac1945,TIMES process: Retrofit-T_R_4Fac1945
Retrofit-T_R_4Fac1958,TIMES process: Retrofit-T_R_4Fac1958
Retrofit-T_R_4Fac1976,TIMES process: Retrofit-T_R_4Fac1976
Retrofit-T_R_4Fac1989,TIMES process: Retrofit-T_R_4Fac1989
Retrofit-T_R_4Fac2005,TIMES process: Retrofit-T_R_4Fac2005
Retrofit-T_R_Appa1945,TIMES process: Retrofit-T_R_Appa1945
Retrofit-T_R_Appa1958,TIMES process: Retrofit-T_R_Appa1958
Retrofit-T_R_Appa1976,TIMES process: Retrofit-T_R_Appa1976
Retrofit-T_R_Appa1989,TIMES process: Retrofit-T_R_Appa1989
Retrofit-T_R_Appa2005,TIMES process: Retrofit-T_R_Appa2005
SBIOH2GC01,TIMES process: SBIOH2GC01
SBIOH2GCC01,TIMES process: SBIOH2GCC01
SBIOH2GD01,TIMES process: SBIOH2GD01
SBIOH2RC01,TIMES process: SBIOH2RC01
SCOAH2GC01,TIMES process: SCOAH2GC01
SCOAH2GC02,TIMES process: SCOAH2GC02
SCOAH2GCC01,TIMES process: SCOAH2GCC01
SCOAH2GCC02,TIMES process: SCOAH2GCC02
SELCH2EC01,TIMES process: SELCH2EC01
SELCH2EC01_LowAF,TIMES process: SELCH2EC01_LowAF
SELCH2EC02,TIMES process: SELCH2EC02
SELCH2EC02_LowAF,TIMES process: SELCH2EC02_LowAF
SELCH2ED01,TIMES process: SELCH2ED01
SELCH2ED01_LowAF,TIMES process: SELCH2ED01_LowAF
SELCH2PEM01,TIMES process: SELCH2PEM01
SELCH2PEM01_LowAF,TIMES process: SELCH2PEM01_LowAF
SETHH2RD01,TIMES process: SETHH2RD01
SGASH2KC01,TIMES process: SGASH2KC01
SGASH2RC01,TIMES process: SGASH2RC01
SGASH2RC02,TIMES process: SGASH2RC02
SGASH2RCC01,TIMES process: SGASH2RCC01
SGASH2RCC02,TIMES process: SGASH2RCC02
SGASH2RD01,TIMES process: SGASH2RD01
SGASH2RD02,TIMES process: SGASH2RD02
SHFOH2POC01,TIMES process: SHFOH2POC01
STECH4IMP,Import of Unknown
STH2IMP,Import of Unknown
STH2SDT,TIMES process: STH2SDT
STH2SGT,TIMES process: STH2SGT
STORAGEMINELC,Extraction of Electricity
STORAGEMININD,Extraction of Unknown
SUPBGS00,TIMES process: SUPBGS00
SUPBOU00,TIMES process: SUPBOU00
SUPCOA00,TIMES process: SUPCOA00
SUPCPS00,TIMES process: SUPCPS00
SUPCUL00,TIMES process: SUPCUL00
SUPDST00,TIMES process: SUPDST00
SUPEFF00,TIMES process: SUPEFF00
SUPELC00,TIMES process: SUPELC00
SUPGAS00,TIMES process: SUPGAS00
SUPGMX00,TIMES process: SUPGMX00
SUPHTH00,TIMES process: SUPHTH00
SUPLOG00,TIMES process: SUPLOG00
SUPPEL00,TIMES process: SUPPEL00
SUPRPP00,TIMES process: SUPRPP00
SUPSLU00,TIMES process: SUPSLU00
TADFKER00,TIMES process: TADFKER00
TADPKER00,TIMES process: TADPKER00
TAIFKER00,TIMES process: TAIFKER00
TAIPKER00,TIMES process: TAIPKER00
TAVDOMBDLFN01,TIMES process: TAVDOMBDLFN01
TAVDOMBDLPN01,TIMES process: TAVDOMBDLPN01
TAVINTHH2FN01,TIMES process: TAVINTHH2FN01
TAVINTHH2PN01,TIMES process: TAVINTHH2PN01
TBUSBDLCN01,TIMES process: TBUSBDLCN01
TBUSBDLU00,TIMES process: TBUSBDLU00
TBUSBDLUN01,TIMES process: TBUSBDLUN01
TBUSDSTC00,TIMES process: TBUSDSTC00
TBUSDSTCN01,TIMES process: TBUSDSTCN01
TBUSDSTHEVU00,TIMES process: TBUSDSTHEVU00
TBUSDSTU00,TIMES process: TBUSDSTU00
TBUSDSTUHEVN01,TIMES process: TBUSDSTUHEVN01
TBUSDSTUN01,TIMES process: TBUSDSTUN01
TBUSELCUN01,TIMES process: TBUSELCUN01
TBUSETHCN01,TIMES process: TBUSETHCN01
TBUSETHUN01,TIMES process: TBUSETHUN01
TBUSGH2CN01,TIMES process: TBUSGH2CN01
TBUSGH2UN01,TIMES process: TBUSGH2UN01
TBUSGMXU00,TIMES process: TBUSGMXU00
TBUSGSLCN01,TIMES process: TBUSGSLCN01
TBUSGSLUN01,TIMES process: TBUSGSLUN01
TBUSHDSTU00,TIMES process: TBUSHDSTU00
TCARDSTEX00,TIMES process: TCARDSTEX00
TCARDSTEXN01,TIMES process: TCARDSTEXN01
TCARDSTHEV4EXN01,TIMES process: TCARDSTHEV4EXN01
TCARDSTHYBEXN01,TIMES process: TCARDSTHYBEXN01
TCARDSTHYBMLN01,TIMES process: TCARDSTHYBMLN01
TCARDSTHYBMUN01,TIMES process: TCARDSTHYBMUN01
TCARDSTHYBSMN01,TIMES process: TCARDSTHYBSMN01
TCARDSTML00,TIMES process: TCARDSTML00
TCARDSTMLN01,TIMES process: TCARDSTMLN01
TCARDSTMU00,TIMES process: TCARDSTMU00
TCARDSTMUN01,TIMES process: TCARDSTMUN01
TCARDSTSM00,TIMES process: TCARDSTSM00
TCARDSTSMN01,TIMES process: TCARDSTSMN01
TCARDTSHEVEX00,TIMES process: TCARDTSHEVEX00
TCARELCEXN01,TIMES process: TCARELCEXN01
TCARELCML00,TIMES process: TCARELCML00
TCARELCMLN01,TIMES process: TCARELCMLN01
TCARELCMUN01,TIMES process: TCARELCMUN01
TCARELCSMN01,TIMES process: TCARELCSMN01
TCARGH2FCEXN01,TIMES process: TCARGH2FCEXN01
TCARGH2FCMLN01,TIMES process: TCARGH2FCMLN01
TCARGH2FCMUN01,TIMES process: TCARGH2FCMUN01
TCARGH2FCSMN01,TIMES process: TCARGH2FCSMN01
TCARGMXEX00,TIMES process: TCARGMXEX00
TCARGMXEXN01,TIMES process: TCARGMXEXN01
TCARGMXML00,TIMES process: TCARGMXML00
TCARGMXMLN01,TIMES process: TCARGMXMLN01
TCARGMXMU00,TIMES process: TCARGMXMU00
TCARGMXMUN01,TIMES process: TCARGMXMUN01
TCARGMXSMN01,TIMES process: TCARGMXSMN01
TCARGSLEX00,TIMES process: TCARGSLEX00
TCARGSLEXN01,TIMES process: TCARGSLEXN01
TCARGSLHEV4EXN01,TIMES process: TCARGSLHEV4EXN01
TCARGSLHEVEX00,TIMES process: TCARGSLHEVEX00
TCARGSLHEVML00,TIMES process: TCARGSLHEVML00
TCARGSLHEVMU00,TIMES process: TCARGSLHEVMU00
TCARGSLHYBEXN01,TIMES process: TCARGSLHYBEXN01
TCARGSLHYBMLN01,TIMES process: TCARGSLHYBMLN01
TCARGSLHYBMUN01,TIMES process: TCARGSLHYBMUN01
TCARGSLHYBSMN01,TIMES process: TCARGSLHYBSMN01
TCARGSLML00,TIMES process: TCARGSLML00
TCARGSLMLN01,TIMES process: TCARGSLMLN01
TCARGSLMU00,TIMES process: TCARGSLMU00
TCARGSLMUN01,TIMES process: TCARGSLMUN01
TCARGSLSM00,TIMES process: TCARGSLSM00
TCARGSLSMN01,TIMES process: TCARGSLSMN01
TCARHGSLEX00,TIMES process: TCARHGSLEX00
TCARHGSLML00,TIMES process: TCARHGSLML00
TCARHGSLMU00,TIMES process: TCARHGSLMU00
TCARHGSLSM00,TIMES process: TCARHGSLSM00
TCARLPGEX00,TIMES process: TCARLPGEX00
TCARLPGEXN01,TIMES process: TCARLPGEXN01
TCARLPGML00,TIMES process: TCARLPGML00
TCARLPGMLN01,TIMES process: TCARLPGMLN01
TCARLPGMU00,TIMES process: TCARLPGMU00
TCARLPGMUN01,TIMES process: TCARLPGMUN01
TCARLPGSM00,TIMES process: TCARLPGSM00
